rank	token_id	decoded	count	share_of_greek_mass_pct	category
1	5147	'και'	11663725	1.1629	greek
2	9413	'να'	10254487	1.0224	greek
3	5195	'το'	8716076	0.8690	greek
4	4712	'του'	8651324	0.8625	greek
5	6682	'της'	7051983	0.7031	greek
6	8329	'την'	6370957	0.6352	greek
7	6569	'με'	6080842	0.6063	greek
8	8271	'από'	5857032	0.5840	greek
9	1903	'ε'	5529554	0.5513	greek
10	11641	'για'	5488782	0.5472	greek
11	5423	'ο'	5340086	0.5324	greek
12	2524	'ί'	5264602	0.5249	greek
13	2004	'σ'	5102719	0.5087	greek
14	8980	'η'	5008846	0.4994	greek
15	3241	'σ'	4950905	0.4936	greek
16	1779	'ι'	4869663	0.4855	greek
17	2785	'ου'	4721452	0.4707	greek
18	11357	'που'	4698049	0.4684	greek
19	3466	'ή'	4582667	0.4569	greek
20	16005	'είναι'	4520033	0.4507	greek
21	5104	'ει'	4495570	0.4482	greek
22	2863	'ά'	4489654	0.4476	greek
23	1713	'α'	4424290	0.4411	greek
24	2172	'π'	4406079	0.4393	greek
25	2419	'κ'	4343542	0.4331	greek
26	3383	'κ'	4311433	0.4299	greek
27	3828	'ε'	4304458	0.4292	greek
28	11836	'σε'	4152584	0.4140	greek
29	13312	'τα'	4113988	0.4102	greek
30	2433	'λ'	4107644	0.4095	greek
31	3375	'γ'	4105287	0.4093	greek
32	2714	'ό'	4072070	0.4060	greek
33	9432	'ετ'	4010335	0.3998	greek
34	2594	'μ'	3964285	0.3952	greek
35	5825	'ρα'	3930629	0.3919	greek
36	3908	'ύ'	3890184	0.3879	greek
37	3242	'α'	3845609	0.3834	greek
38	6407	'μα'	3830859	0.3819	greek
39	4368	'θ'	3725926	0.3715	greek
40	3294	'ω'	3704029	0.3693	greek
41	1725	'ο'	3694841	0.3684	greek
42	4390	'τα'	3634138	0.3623	greek
43	4559	'φ'	3613695	0.3603	greek
44	10471	'στο'	3561478	0.3551	greek
45	11453	'των'	3556168	0.3546	greek
46	1976	'ρ'	3526564	0.3516	greek
47	5828	'ρο'	3523693	0.3513	greek
48	3327	'π'	3485327	0.3475	greek
49	3271	'έ'	3466619	0.3456	greek
50	13565	'φ'	3451256	0.3441	greek
