rank	token_id	decoded	count	share_of_greek_mass_pct	category
1	1044	','	20366551	2.0306	structural
2	1046	'.'	12087394	1.2051	structural
3	1032	''	7033169	0.7012	other
4	1626	'.\n'	6945213	0.6924	other
5	1048	'0'	3831574	0.3820	digit
6	1049	'1'	3830602	0.3819	digit
7	1045	'-'	2944031	0.2935	structural
8	1050	'2'	2882062	0.2873	digit
9	1010	'\n'	2520858	0.2513	whitespace
10	1319	'('	1775833	0.1771	structural
11	1057	'9'	1481081	0.1477	digit
12	1051	'3'	1385232	0.1381	digit
13	1053	'5'	1370452	0.1366	digit
14	1058	':'	1293574	0.1290	structural
15	1052	'4'	1166873	0.1163	digit
16	1947	'«'	1097936	0.1095	structural
17	1056	'8'	986971	0.0984	digit
18	1054	'6'	931008	0.0928	digit
19	1206	'�'	927670	0.0925	structural
20	1055	'7'	875168	0.0873	digit
21	1041	')'	873152	0.0871	structural
22	1462	'-'	788934	0.0787	structural
23	1992	'»'	554918	0.0553	structural
24	1429	'"'	534392	0.0533	structural
25	1877	':\n'	529393	0.0528	other
26	1059	';'	357917	0.0357	structural
27	1365	';\n'	347912	0.0347	other
28	1034	'"'	340623	0.0340	structural
29	1047	'/'	321831	0.0321	structural
30	6182	'»,'	317544	0.0317	structural
31	1574	'),'	315309	0.0314	structural
32	1161	'�'	292458	0.0292	structural
33	1583	'�'	281096	0.0280	structural
34	1037	'%'	264567	0.0264	structural
35	1775	'–'	249285	0.0249	structural
36	1140	'�'	243082	0.0242	structural
37	1577	').'	239653	0.0239	structural
38	3443	'«'	233353	0.0233	structural
39	1471	'’'	229165	0.0228	structural
40	2129	'“'	227173	0.0226	structural
41	4342	').\n'	227126	0.0226	other
42	1033	'!'	198208	0.0198	structural
43	1039	"'"	190134	0.0190	structural
44	21090	'».\n'	185920	0.0185	other
45	59377	'�'	183920	0.0183	structural
46	1152	'�'	168738	0.0168	structural
47	1278	'the'	158354	0.0158	latin
48	11330	'!\n'	154997	0.0155	other
49	6460	'».'	146977	0.0147	structural
50	1137	'�'	146700	0.0146	structural
