rank	token_id	decoded	greek_count	share_of_greek_mass_pct	is_latin	is_cyrillic	is_han	is_structural	is_digit	is_ws	is_special	is_byte_fragment
1	1044	,	20366551	2.0305693395190385	false	false	false	true	false	false	false	false
2	1046	.	12087394	1.2051275471770546	false	false	false	true	false	false	false	false
3	1032	""	7033169	0.7012153079358294	false	false	false	false	false	false	false	false
4	1626	".
"	6945213	0.6924459902036942	false	false	false	false	false	false	false	false
5	1048	0	3831574	0.38201248147014777	false	false	false	false	true	false	false	false
6	1049	1	3830602	0.3819155719149652	false	false	false	false	true	false	false	false
7	1045	-	2944031	0.29352338956132407	false	false	false	true	false	false	false	false
8	1050	2	2882062	0.28734500661368334	false	false	false	false	true	false	false	false
9	1010	"
"	2520858	0.2513325385373932	false	false	false	false	false	true	false	false
10	1319	(	1775833	0.17705266060542663	false	false	false	true	false	false	false	false
11	1057	9	1481081	0.14766553590464074	false	false	false	false	true	false	false	false
12	1051	3	1385232	0.13810927669199544	false	false	false	false	true	false	false	false
13	1053	5	1370452	0.13663569312656548	false	false	false	false	true	false	false	false
14	1058	:	1293574	0.1289708651601835	false	false	false	true	false	false	false	false
15	1052	4	1166873	0.1163386248811887	false	false	false	false	true	false	false	false
16	1947	«	1097936	0.10946552405236286	false	false	false	true	false	false	false	false
17	1056	8	986971	0.09840218167496523	false	false	false	false	true	false	false	false
18	1054	6	931008	0.09282260406521167	false	false	false	false	true	false	false	false
19	1206	�	927670	0.09248980149813418	false	false	false	true	false	false	false	true
20	1055	7	875168	0.08725528970163862	false	false	false	false	true	false	false	false
21	1041	)	873152	0.08705429210570446	false	false	false	true	false	false	false	false
22	1462	-	788934	0.07865765741603048	false	false	false	true	false	false	false	false
23	1992	»	554918	0.05532598409751488	false	false	false	true	false	false	false	false
24	1429	""""	534392	0.05327951750319718	false	false	false	true	false	false	false	false
25	1877	":
"	529393	0.05278111126208862	false	false	false	false	false	false	false	false
26	1059	;	357917	0.03568475026982407	false	false	false	true	false	false	false	false
27	1365	";
"	347912	0.03468723987928774	false	false	false	false	false	false	false	false
28	1034	""""	340623	0.033960517916607154	false	false	false	true	false	false	false	false
29	1047	/	321831	0.03208693318307806	false	false	false	true	false	false	false	false
30	6182	»,	317544	0.0316595141881526	false	false	false	true	false	false	false	false
31	1574	),	315309	0.031436682031945835	false	false	false	true	false	false	false	false
32	1161	�	292458	0.029158410174460022	false	false	false	true	false	false	false	true
33	1583	�	281096	0.028025605271184285	false	false	false	true	false	false	false	true
34	1037	%	264567	0.026377644327138818	false	false	false	true	false	false	false	false
35	1775	–	249285	0.024854010765102224	false	false	false	true	false	false	false	false
36	1140	�	243082	0.024235564293088548	false	false	false	true	false	false	false	true
37	1577	).	239653	0.023893688917861255	false	false	false	true	false	false	false	false
38	3443	«	233353	0.02326557143056702	false	false	false	true	false	false	false	false
39	1471	’	229165	0.02284802285329904	false	false	false	true	false	false	false	false
40	2129	“	227173	0.02264941808588791	false	false	false	true	false	false	false	false
41	4342	").
"	227126	0.022644732130030317	false	false	false	false	false	false	false	false
42	1033	!	198208	0.01976157316216131	false	false	false	true	false	false	false	false
43	1039	'	190134	0.01895658576654009	false	false	false	true	false	false	false	false
44	21090	"».
"	185920	0.018536444958372165	false	false	false	false	false	false	false	false
45	59377	�	183920	0.018337042581453362	false	false	false	true	false	false	false	true
46	1152	�	168738	0.016823379138262706	false	false	false	true	false	false	false	true
47	1278	the	158354	0.01578808199730027	true	false	false	false	false	false	false	false
48	11330	"!
"	154997	0.015453385107642053	false	false	false	false	false	false	false	false
49	6460	».	146977	0.014653781576197645	false	false	false	true	false	false	false	false
50	1137	�	146700	0.014626164346994389	false	false	false	true	false	false	false	true
51	1307	of	143922	0.014349194445454167	true	false	false	false	false	false	false	false
52	39653	"..
"	139620	0.013920279932701818	false	false	false	false	false	false	false	false
53	43637	µ	136135	0.013572821290920798	false	false	false	false	false	false	false	false
54	1576	'	134582	0.013417985345243346	false	false	false	true	false	false	false	false
55	1158	�	131144	0.013075212659319919	false	false	false	true	false	false	false	true
56	1456	")
"	130109	0.012972021929264438	false	false	false	false	false	false	false	false
57	1414	”	123313	0.012294452652494335	false	false	false	true	false	false	false	false
58	1987	/	119154	0.01187979540969168	false	false	false	true	false	false	false	false
59	1897	""","	109093	0.010876701752601628	false	false	false	true	false	false	false	false
60	3897	,	105895	0.010557857351908458	false	false	false	true	false	false	false	false
61	114036	�	104921	0.010460748394349	false	false	false	true	false	false	false	true
62	30540	||	97583	0.009729141073433903	false	false	false	true	false	false	false	false
63	105726	�	94045	0.009376398268664536	false	false	false	true	false	false	false	true
64	1321	and	93218	0.009293945385808609	true	false	false	false	false	false	false	false
65	1359	C	90879	0.009060744306002066	true	false	false	false	false	false	false	false
66	1207	�	90184	0.008991451980022781	false	false	false	true	false	false	false	true
67	1139	�	88973	0.008870713840798444	false	false	false	true	false	false	false	true
68	1520	",
"	88410	0.0088145820716958	false	false	false	false	false	false	false	false
69	1510	…	87921	0.008765828190539152	false	false	false	true	false	false	false	false
70	2880	...	86840	0.008658051205814539	false	false	false	true	false	false	false	false
71	1124	|	85116	0.008486166356910527	false	false	false	true	false	false	false	false
72	1134	�	83832	0.008358150030928655	false	false	false	true	false	false	false	true
73	9551	"?
"	82758	0.008251070954523257	false	false	false	false	false	false	false	false
74	2247	.	78371	0.007813681840751856	false	false	false	true	false	false	false	false
75	1349	A	76421	0.007619264523256021	true	false	false	false	false	false	false	false
76	1766	[	73439	0.007321955579270081	false	false	false	true	false	false	false	false
77	1093	]	73341	0.00731218486280106	false	false	false	true	false	false	false	false
78	1353	T	72871	0.00726532530422514	true	false	false	false	false	false	false	false
79	1111	o	71762	0.007154756686223663	true	false	false	false	false	false	false	false
80	1398	B	69580	0.006937208693005246	true	false	false	false	false	false	false	false
81	1182	�	69073	0.006886660190456329	false	false	false	true	false	false	false	true
82	1335	S	68840	0.006863429813545288	true	false	false	false	false	false	false	false
83	1550	K	68667	0.006846181507941812	true	false	false	false	false	false	false	false
84	1407	D	67998	0.006779481412862471	true	false	false	false	false	false	false	false
85	1439	F	67763	0.006756051633574511	true	false	false	false	false	false	false	false
86	23685	"|
"	67135	0.006693439287222006	false	false	false	false	false	false	false	false
