run_tag,iter,tokens,name,kind,lm_loss,ppl,delta_from_first
curr_td_b20p999_b3p999_13b_20260616T093527Z,25,104857600,code,forget,0.7767354,2.174362,0.0
curr_td_b20p999_b3p999_13b_20260616T093527Z,50,209715200,code,forget,0.7314219,2.078033,-0.04531
curr_td_b20p999_b3p999_13b_20260616T093527Z,75,314572800,code,forget,0.7117458,2.037545,-0.06499
curr_td_b20p999_b3p999_13b_20260616T093527Z,100,419430400,code,forget,0.696777,2.007273,-0.07996
curr_td_b20p999_b3p999_13b_20260616T093527Z,125,524288000,code,forget,0.6872196,1.98818,-0.08952
curr_td_b20p999_b3p999_13b_20260616T093527Z,150,629145600,code,forget,0.6824495,1.978719,-0.09429
curr_td_b20p999_b3p999_13b_20260616T093527Z,175,734003200,code,forget,0.6785977,1.971112,-0.09814
curr_td_b20p999_b3p999_13b_20260616T093527Z,200,838860800,code,forget,0.6758836,1.965769,-0.10085
curr_td_b20p999_b3p999_13b_20260616T093527Z,225,943718400,code,forget,0.6692086,1.952691,-0.10753
curr_td_b20p999_b3p999_13b_20260616T093527Z,250,1048576000,code,forget,0.6709006,1.955998,-0.10583
curr_td_b20p999_b3p999_13b_20260616T093527Z,275,1153433600,code,forget,0.6670101,1.948403,-0.10973
curr_td_b20p999_b3p999_13b_20260616T093527Z,300,1258291200,code,forget,0.6673185,1.949004,-0.10942
curr_td_b20p999_b3p999_13b_20260616T093527Z,325,1363148800,code,forget,0.6661862,1.946798,-0.11055
curr_td_b20p999_b3p999_13b_20260616T093527Z,350,1468006400,code,forget,0.6656939,1.94584,-0.11104
curr_td_b20p999_b3p999_13b_20260616T093527Z,375,1572864000,code,forget,0.6643825,1.94329,-0.11235
curr_td_b20p999_b3p999_13b_20260616T093527Z,400,1677721600,code,forget,0.6653925,1.945254,-0.11134
curr_td_b20p999_b3p999_13b_20260616T093527Z,425,1782579200,code,forget,0.6641406,1.94282,-0.11259
curr_td_b20p999_b3p999_13b_20260616T093527Z,450,1887436800,code,forget,0.6648331,1.944166,-0.1119
curr_td_b20p999_b3p999_13b_20260616T093527Z,475,1992294400,code,forget,0.6643661,1.943258,-0.11237
curr_td_b20p999_b3p999_13b_20260616T093527Z,500,2097152000,code,forget,0.6636498,1.941867,-0.11309
curr_td_b20p999_b3p999_13b_20260616T093527Z,525,2202009600,code,forget,0.6632231,1.941039,-0.11351
curr_td_b20p999_b3p999_13b_20260616T093527Z,550,2306867200,code,forget,0.6651551,1.944792,-0.11158
curr_td_b20p999_b3p999_13b_20260616T093527Z,575,2411724800,code,forget,0.6632357,1.941063,-0.1135
curr_td_b20p999_b3p999_13b_20260616T093527Z,600,2516582400,code,forget,0.6638752,1.942305,-0.11286
