run_tag,iter,tokens,greekmmlu_acc,n
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,238,998244352,0.4821,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,476,1996488704,0.5064,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,714,2994733056,0.4959,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,952,3992977408,0.5194,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,1190,4991221760,0.5133,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,1428,5989466112,0.5274,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,1666,6987710464,0.5312,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,1904,7985954816,0.5331,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,2142,8984199168,0.5424,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,2261,9483321344,0.5356,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,2380,9982443520,0.5595,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,2618,10980687872,0.5734,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,2856,11978932224,0.5662,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,3094,12977176576,0.5686,16632
curr_td_f20_g1_lr5.5e-5_a0_20260613T090652Z,3218,13497270272,0.5663,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,238,998244352,0.493,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,476,1996488704,0.5233,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,714,2994733056,0.5049,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,952,3992977408,0.5241,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,1190,4991221760,0.5395,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,1428,5989466112,0.5337,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,1666,6987710464,0.5478,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,1904,7985954816,0.5491,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,2142,8984199168,0.5594,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,2261,9483321344,0.5651,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,2380,9982443520,0.5733,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,2618,10980687872,0.583,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,2856,11978932224,0.5842,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,3094,12977176576,0.5927,16632
curr_td_f20_g1_lr5.5e-5_a4_20260613T090652Z,3218,13497270272,0.5948,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,238,998244352,0.4927,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,476,1996488704,0.5403,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,714,2994733056,0.5139,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,952,3992977408,0.5459,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,1190,4991221760,0.5274,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,1428,5989466112,0.5145,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,1666,6987710464,0.5357,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,1904,7985954816,0.5613,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,2142,8984199168,0.5673,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,2261,9483321344,0.5577,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,2380,9982443520,0.5697,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,2618,10980687872,0.564,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,2856,11978932224,0.5667,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,3094,12977176576,0.5743,16632
curr_td_f20_g1_lr5.5e-5_a8_20260613T090652Z,3218,13497270272,0.5782,16632
