run_tag,iter,tokens,greekmmlu_acc,n
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,476,1996488704,0.5159,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,714,2994733056,0.498,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,952,3992977408,0.5244,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1190,4991221760,0.5231,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1428,5989466112,0.5334,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1666,6987710464,0.5494,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1904,7985954816,0.5424,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2142,8984199168,0.5272,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2261,9483321344,0.5412,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2380,9982443520,0.561,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2618,10980687872,0.57,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2856,11978932224,0.5896,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,3094,12977176576,0.5918,16632
curr_td_f20_g1_lr1.1e-4_20260612T191957Z,3218,13497270272,0.5921,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,476,1996488704,0.5112,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,714,2994733056,0.4949,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,952,3992977408,0.5082,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1190,4991221760,0.5208,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1428,5989466112,0.5211,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1666,6987710464,0.5347,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1904,7985954816,0.5343,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2142,8984199168,0.5395,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2261,9483321344,0.5388,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2380,9982443520,0.5503,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2618,10980687872,0.5738,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2856,11978932224,0.5671,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,3094,12977176576,0.5708,16632
curr_td_f20_g1_lr2.75e-5_20260612T191957Z,3218,13497270272,0.5721,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,476,1996488704,0.513,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,714,2994733056,0.4945,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,952,3992977408,0.5357,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1190,4991221760,0.5282,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1428,5989466112,0.5373,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1666,6987710464,0.5542,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1904,7985954816,0.5528,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2142,8984199168,0.5516,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2261,9483321344,0.5513,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2380,9982443520,0.5711,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2618,10980687872,0.5829,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2856,11978932224,0.5857,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,3094,12977176576,0.5868,16632
curr_td_f20_g1_lr5.5e-5_20260612T191957Z,3218,13497270272,0.585,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,476,1996488704,0.5183,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,714,2994733056,0.4942,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,952,3992977408,0.5088,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1190,4991221760,0.5141,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1428,5989466112,0.5319,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1666,6987710464,0.566,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1904,7985954816,0.569,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2142,8984199168,0.536,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2261,9483321344,0.5245,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2380,9982443520,0.5407,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2618,10980687872,0.5737,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2856,11978932224,0.5753,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,3094,12977176576,0.5885,16632
curr_td_f20_g1_lr8.25e-5_20260612T191957Z,3218,13497270272,0.5874,16632
curr_td_replay0.15_20260611T181235Z,238,998244352,0.4961,16632
curr_td_replay0.15_20260611T181235Z,476,1996488704,0.5145,16632
curr_td_replay0.15_20260611T181235Z,714,2994733056,0.5215,16632
curr_td_replay0.15_20260611T181235Z,952,3992977408,0.525,16632
curr_td_replay0.15_20260611T181235Z,1190,4991221760,0.5271,16632
curr_td_replay0.15_20260611T181235Z,1428,5989466112,0.5176,16632
curr_td_replay0.15_20260611T181235Z,1666,6987710464,0.5584,16632
curr_td_replay0.15_20260611T181235Z,1904,7985954816,0.5713,16632
curr_td_replay0.15_20260611T181235Z,2142,8984199168,0.5568,16632
curr_td_replay0.15_20260611T181235Z,2261,9483321344,0.5622,16632
curr_td_replay0.15_20260611T181235Z,2380,9982443520,0.5759,16632
curr_td_replay0.15_20260611T181235Z,2618,10980687872,0.5786,16632
curr_td_replay0.15_20260611T181235Z,2856,11978932224,0.5887,16632
curr_td_replay0.15_20260611T181235Z,3094,12977176576,0.5898,16632
curr_td_replay0.15_20260611T181235Z,3218,13497270272,0.5919,16632
curr_td_replay0.25_20260611T181235Z,238,998244352,0.4909,16632
curr_td_replay0.25_20260611T181235Z,476,1996488704,0.5165,16632
curr_td_replay0.25_20260611T181235Z,714,2994733056,0.5057,16632
curr_td_replay0.25_20260611T181235Z,952,3992977408,0.533,16632
curr_td_replay0.25_20260611T181235Z,1190,4991221760,0.5512,16632
curr_td_replay0.25_20260611T181235Z,1428,5989466112,0.5367,16632
curr_td_replay0.25_20260611T181235Z,1666,6987710464,0.5461,16632
curr_td_replay0.25_20260611T181235Z,1904,7985954816,0.5505,16632
curr_td_replay0.25_20260611T181235Z,2142,8984199168,0.5555,16632
curr_td_replay0.25_20260611T181235Z,2261,9483321344,0.5623,16632
curr_td_replay0.25_20260611T181235Z,2380,9982443520,0.5673,16632
curr_td_replay0.25_20260611T181235Z,2618,10980687872,0.5826,16632
curr_td_replay0.25_20260611T181235Z,2856,11978932224,0.5761,16632
curr_td_replay0.25_20260611T181235Z,3094,12977176576,0.5799,16632
curr_td_replay0.25_20260611T181235Z,3218,13497270272,0.5776,16632
curr_td_replay0.35_20260611T181235Z,238,998244352,0.4805,16632
curr_td_replay0.35_20260611T181235Z,476,1996488704,0.5268,16632
curr_td_replay0.35_20260611T181235Z,714,2994733056,0.5345,16632
