peak_lr,run_tag,iter,label,tokens,correct,n,greekmmlu_acc,source_root
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,238,curr-1.0B,998244352,8053,16632,0.484187,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,476,curr-2.0B,1996488704,8503,16632,0.511243,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,714,curr-3.0B,2994733056,8232,16632,0.494949,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,952,curr-4.0B,3992977408,8452,16632,0.508177,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1190,curr-5.0B,4991221760,8662,16632,0.520803,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1428,curr-6.0B,5989466112,8667,16632,0.521104,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1666,curr-7.0B,6987710464,8893,16632,0.534692,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,1904,curr-8.0B,7985954816,8886,16632,0.534271,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2142,curr-9.0B,8984199168,8973,16632,0.539502,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2261,curr-phase-boundary,9483321344,8962,16632,0.538841,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2380,curr-10.0B,9982443520,9153,16632,0.550325,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2618,curr-11.0B,10980687872,9543,16632,0.573773,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,2856,curr-12.0B,11978932224,9432,16632,0.567100,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,3094,curr-13.0B,12977176576,9494,16632,0.570827,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
2.75e-5,curr_td_f20_g1_lr2.75e-5_20260612T191957Z,3218,curr-final,13497270272,9515,16632,0.572090,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,238,curr-1.0B,998244352,8226,16632,0.494589,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,476,curr-2.0B,1996488704,8532,16632,0.512987,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,714,curr-3.0B,2994733056,8224,16632,0.494468,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,952,curr-4.0B,3992977408,8910,16632,0.535714,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1190,curr-5.0B,4991221760,8785,16632,0.528199,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1428,curr-6.0B,5989466112,8936,16632,0.537278,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1666,curr-7.0B,6987710464,9218,16632,0.554233,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,1904,curr-8.0B,7985954816,9195,16632,0.552850,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2142,curr-9.0B,8984199168,9175,16632,0.551647,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2261,curr-phase-boundary,9483321344,9170,16632,0.551347,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2380,curr-10.0B,9982443520,9499,16632,0.571128,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2618,curr-11.0B,10980687872,9695,16632,0.582912,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,2856,curr-12.0B,11978932224,9741,16632,0.585678,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,3094,curr-13.0B,12977176576,9760,16632,0.586821,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
5.5e-5,curr_td_f20_g1_lr5.5e-5_20260612T191957Z,3218,curr-final,13497270272,9729,16632,0.584957,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,238,curr-1.0B,998244352,8222,16632,0.494348,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,476,curr-2.0B,1996488704,8620,16632,0.518278,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,714,curr-3.0B,2994733056,8220,16632,0.494228,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,952,curr-4.0B,3992977408,8463,16632,0.508838,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1190,curr-5.0B,4991221760,8551,16632,0.514129,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1428,curr-6.0B,5989466112,8847,16632,0.531926,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1666,curr-7.0B,6987710464,9413,16632,0.565957,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,1904,curr-8.0B,7985954816,9463,16632,0.568963,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2142,curr-9.0B,8984199168,8915,16632,0.536015,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2261,curr-phase-boundary,9483321344,8723,16632,0.524471,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2380,curr-10.0B,9982443520,8993,16632,0.540705,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2618,curr-11.0B,10980687872,9542,16632,0.573713,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,2856,curr-12.0B,11978932224,9569,16632,0.575337,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,3094,curr-13.0B,12977176576,9788,16632,0.588504,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
8.25e-5,curr_td_f20_g1_lr8.25e-5_20260612T191957Z,3218,curr-final,13497270272,9769,16632,0.587362,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,238,curr-1.0B,998244352,8262,16632,0.496753,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,476,curr-2.0B,1996488704,8580,16632,0.515873,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,714,curr-3.0B,2994733056,8282,16632,0.497956,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,952,curr-4.0B,3992977408,8722,16632,0.524411,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1190,curr-5.0B,4991221760,8700,16632,0.523088,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1428,curr-6.0B,5989466112,8872,16632,0.533430,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1666,curr-7.0B,6987710464,9137,16632,0.549363,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,1904,curr-8.0B,7985954816,9022,16632,0.542448,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2142,curr-9.0B,8984199168,8768,16632,0.527177,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2261,curr-phase-boundary,9483321344,9002,16632,0.541246,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2380,curr-10.0B,9982443520,9331,16632,0.561027,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2618,curr-11.0B,10980687872,9480,16632,0.569986,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,2856,curr-12.0B,11978932224,9806,16632,0.589586,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,3094,curr-13.0B,12977176576,9843,16632,0.591811,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
1.1e-4,curr_td_f20_g1_lr1.1e-4_20260612T191957Z,3218,curr-final,13497270272,9847,16632,0.592051,/capstor/scratch/cscs/fffoivos/runs/curriculum_v2
