scale	update	source_checkpoint_root	existing_export_receipt	existing_result_root
1p5b	238	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_mb4_val148_v116/segments/s0/attempts/attempt_000002/payload/checkpoints	-	-
8b	238	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s0/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	476	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_mb4_val148_v116/segments/s0/attempts/attempt_000002/payload/checkpoints	-	-
8b	476	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s0/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	714	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_mb4_val148_v116/segments/s0/attempts/attempt_000002/payload/checkpoints	-	-
8b	714	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s0/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	952	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_mb4_val148_v116/segments/s0/attempts/attempt_000002/payload/checkpoints	-	-
8b	952	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s0/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	1190	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_s1_rerun_from_952_after_signal_fault_v1/segments/s1/attempts/attempt_000001/payload/checkpoints	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_s1_rerun_from_952_after_signal_fault_v1_eval_export_parity_i1190_v107/evaluations/checkpoint_export/iter_0001190/attempts/attempt_000001/export/checkpoint_export_receipt.json	-
8b	1190	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s1/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	1428	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_s1_rerun_from_952_after_signal_fault_v1/segments/s1/attempts/attempt_000001/payload/checkpoints	-	-
8b	1428	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s1/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	1666	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_s1_rerun_from_952_after_signal_fault_v1/segments/s1/attempts/attempt_000001/payload/checkpoints	-	-
8b	1666	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s1/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	1904	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_main_1p5b_s1_rerun_from_952_after_signal_fault_v1/segments/s1/attempts/attempt_000001/payload/checkpoints	-	-
8b	1904	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112/segments/s1/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	2142	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s2/attempts/attempt_000003/payload/checkpoints	-	-
8b	2142	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s2/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	2261	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s2/attempts/attempt_000003/payload/checkpoints	-	-
8b	2261	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s2/attempts/attempt_000001/payload/checkpoints	-	-
1p5b	2380	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s3/attempts/attempt_000002/payload/checkpoints	-	-
8b	2380	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s3/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	2618	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s3/attempts/attempt_000002/payload/checkpoints	-	-
8b	2618	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s3/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	2856	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s3/attempts/attempt_000002/payload/checkpoints	-	-
8b	2856	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s3/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	3094	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s3/attempts/attempt_000002/payload/checkpoints	-	-
8b	3094	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s3/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	3218	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/h2g_1p5b_2node_v1_retry14_direct_salloc_uenv_20260821/segments/s3/attempts/attempt_000002/payload/checkpoints	-	-
8b	3218	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/efficiency_bound_proven_8b_v112_recovery_codebinding_v3_staticready/segments/s3/attempts/attempt_000003/payload/checkpoints	-	-
1p5b	3456	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/direct_v15_1p5b_s4_3218_3456_3146990/checkpoints	-	-
8b	3456	/capstor/scratch/cscs/fffoivos/cpt_runs/hard_h2g_matched/20260814T201715Z-r2-v14/runs/direct_v15_8b_s4_3218_3456_3140780/checkpoints	-	-
